"BARRIOS","SECTOR FAMILIAS","SECTOR MOTOTAXISMO","SECTOR RECREATIVO"
"ALAMEDA LA VICTORIA",13,17,2
"ALBORNOZ",13,60,0
"ALCIBIA",5,24,1
"ALMIRANTE COLON",12,17,1
"ALTO BOSQUE",20,15,4
"ALTOS DE SAN ISIDRO",39,78,0
"AMBERES",26,34,0
"ANITA",4,6,1
"ANTONIO JOSE DE SUCRE",13,32,0
"ARARCA",2,0,0
"ARMENIA",7,7,0
"ARROYO DE LAS CANOAS",0,1,0
"ARROYO DE PIEDRA",2,5,0
"ARROYO GRANDE",2,11,0
"ARROZ BARATO",12,41,1
"BARRIO CHINO",7,15,0
"BARU",2,1,1
"BAYUNCA",23,102,4
"BELLAVISTA",7,24,1
"BLAS DE LEZO",87,137,11
"BOCAGRANDE",2,4,0
"BOSQUECITO",8,13,0
"BOSTON",53,202,3
"BRUSELAS",30,53,0
"BUENOS AIRES",14,17,3
"CAMAGUEY",1,4,0
"CAMILO TORRES",9,32,1
"CANAPOTE",21,68,2
"CEBALLOS",14,88,1
"CERRO DE LA POPA",1,7,0
"CHAMBACU",0,1,0
"CHAPACUA",32,39,3
"CHIPRE",2,4,0
"CHIQUINQUIRA",22,117,3
"CIUDAD BICENTENARIO",91,238,3
"CIUDADELA 2000",33,80,3
"CRESPO",5,6,3
"DANIEL LEMAITRE",47,163,6
"EL BOSQUE",16,42,3
"EL CABRERO",6,1,1
"EL CAMPESTRE",44,69,8
"EL CARMELO",34,68,4
"EL CARMEN",0,2,2
"EL COUNTRY",10,16,1
"EL EDUCADOR",22,67,4
"EL GALLO",4,2,1
"EL LAGUITO",0,1,1
"EL LIBERTADOR",3,11,0
"EL MILAGRO",14,66,0
"EL POZON",259,1007,22
"EL PRADO",15,31,3
"EL RECREO",17,23,5
"EL REPOSO",10,56,1
"EL SOCORRO",38,83,12
"ESPINAL",5,18,1
"FLOR DEL CAMPO",23,116,1
"FREDONIA",25,149,2
"GETSEMANI",2,4,1
"HENEQUEN",2,27,0
"JAIME PARDO LEAL",0,3,0
"JORGE ELIECER GAITAN",1,10,0
"JOSE ANTONIO GALAN",1,18,0
"JUAN XXIII",4,10,0
"JUNIN",12,28,2
"LA BOQUILLA",20,84,3
"LA CANDELARIA",23,115,0
"LA CAROLINA",121,78,6
"LA CASTELLANA",5,1,1
"LA CENTRAL",14,23,2
"LA CONCEPCION",9,4,0
"LA CONSOLATA",39,63,3
"LA ESPERANZA",24,187,1
"LA FLORESTA",0,2,0
"LA FLORIDA",1,5,0
"LA INDIA",14,28,2
"LA MARIA",62,283,9
"LA PAZ",2,29,1
"LA QUINTA",9,34,0
"LA SIERRITA",3,24,0
"LA TRONCAL",7,6,0
"LA VICTORIA",29,74,2
"LAS BRISAS",3,23,0
"LAS DELICIAS",3,6,0
"LAS GAVIOTAS",42,59,8
"LAS PALMERAS",39,95,6
"LO AMADOR",18,47,2
"LOMA FRESCA",7,33,0
"LOS ALPES",50,66,6
"LOS ANGELES",1,5,0
"LOS CARACOLES",38,53,5
"LOS CERROS",7,23,0
"LOS COMUNEROS",6,16,0
"LOS CORALES",10,9,1
"LOS EJECUTIVOS",0,0,1
"LOS JARDINES",14,24,3
"LOS SANTANDERES",4,9,0
"LUIS CARLOS GALAN",14,49,2
"MAMONAL",0,4,0
"MANGA",12,13,1
"MANUELA VERGARA DE CURI",0,17,0
"MANZANILLO DEL MAR",3,5,1
"MARBELLA",5,3,1
"MARIA CANO",17,14,2
